 Id    Player     Practice         Infra     LocalMarket
1   1   230   0   0
2   1   230   0   0
4   1   230   0   0
6   0   0   0   1
7   1   230   0   0
8   1   230   0   0
9   1   230   0   0
10   2   230   0   0
15   3   230   0   0
17   3   230   0   0
18   1   230   0   0
19   3   230   0   0
20   3   230   0   0
21   5   230   0   0
23   2   230   0   0
24   2   230   0   0
25   2   230   0   0
27   2   230   0   0
31   2   230   0   0
32   3   230   0   0
33   3   230   0   0
35   3   230   0   0
36   5   230   0   0
37   5   230   0   0
38   5   230   0   0
39   5   230   0   0
44   4   230   0   0
46   4   230   0   0
47   4   230   0   0
50   4   230   0   0
52   4   230   0   0
53   6   230   0   0
54   4   230   0   0
55   6   230   0   0
56   6   230   0   0
57   7   230   0   0
59   7   230   0   0
60   5   230   0   0
61   7   230   0   0
62   7   230   0   0
63   6   230   0   0
64   6   230   0   0
67   8   230   0   0
68   6   230   0   0
69   8   230   0   0
70   6   230   0   0
71   7   230   0   0
72   7   230   0   0
73   9   230   0   0
74   7   230   0   0
75   8   230   0   0
76   8   230   0   0
77   8   230   0   0
80   9   230   0   0
82   9   230   0   0
83   9   230   0   0
84   9   230   0   0
86   8   230   0   0
87   8   230   0   0
88   9   230   0   0
89   9   230   0   0
